name,position,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Clean sheets,Goals conceded,Errors leading to goal,Own goals,Yellow cards,Red cards,Fouls,Goals,Assists,Passes,Passes per match,Accurate long balls,Appearances,Wins,Losses,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Big chances created,Crosses,Cross accuracy %,Through balls,Offsides,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed
Artur Boruc,Goalkeeper,17,0,2,1,1,2,23,24,2,5,0,0,0,0,0,0,0,95,23.75,28,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asmir Begovic,Goalkeeper,58,0,4,18,5,7,112,172,5,42,3,0,0,0,0,0,0,478,21.73,128,22,8,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Travers,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simon Francis,Defender,,,,,,,,,4,24,0,0,1,0,11,0,2,654,38.47,30,17,8,8,25,56,0,0,19,66,40,0,65,85,74,5,47,40,0,32,34,0,3,0,0,0,0,,,,,,,
Steve Cook,Defender,,,,,,,,,7,47,0,1,2,0,15,1,1,1222,47.00,89,26,10,13,31,52,1,5,40,175,83,0,123,158,86,5,105,65,1,11,27,0,1,1,0,0,0,,,,,,,
Nathan Aké,Defender,,,,,,,,,7,47,0,0,2,0,16,3,0,1187,45.65,54,26,10,13,37,62,1,4,23,161,92,2,120,103,80,2,54,54,0,1,100,0,2,2,0,1,1,,,,,,,
Charlie Daniels,Defender,,,,,,,,,3,28,2,0,2,0,4,1,0,669,41.81,29,16,7,7,18,56,0,3,15,34,18,0,82,59,41,9,25,19,0,23,35,1,0,1,0,0,0,,,,,,,
Adam Smith,Defender,,,,,,,,,5,18,0,0,3,1,11,1,0,588,34.59,15,17,8,7,27,70,1,2,16,41,19,0,65,84,81,14,18,20,0,13,8,0,0,0,1,0,0,,,,,,,
Jack Simpson,Defender,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Diego Rico,Defender,,,,,,,,,0,16,0,0,1,0,8,0,0,236,29.50,8,8,1,7,13,62,0,1,12,15,7,0,34,32,25,3,6,7,2,31,29,0,0,0,0,0,0,,,,,,,
Nathaniel Clyne,Defender,,,,,,,,,2,5,0,0,1,0,3,0,0,215,26.88,6,8,6,2,20,65,1,1,5,9,3,0,28,27,22,1,2,5,0,11,9,1,0,0,0,0,0,,,,,,,
Chris Mepham,Defender,,,,,,,,,0,0,0,0,0,0,0,0,0,9,4.50,0,2,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,
Dan Gosling,Midfielder,,,,,,,,,,,1,,4,0,17,0,0,657,36.50,34,18,8,7,29,38,,2,12,36,17,,86,84,79,8,27,29,1,5,20,3,2,0,0,0,0,0.00,0,0,12,4,33,2
Andrew Surman,Midfielder,,,,,,,,,,,0,,2,0,7,0,0,736,49.07,42,15,5,9,9,44,,1,5,23,16,,75,34,32,3,16,11,1,1,100,2,0,0,0,0,1,0.00,0,0,9,1,11,0
Lewis Cook,Midfielder,,,,,,,,,,,0,,2,0,12,0,0,391,30.08,22,13,6,5,13,46,,3,8,7,1,,60,33,48,10,5,10,0,10,0,1,0,0,0,0,0,0.00,0,0,4,0,0,0
Junior Stanislas,Midfielder,,,,,,,,,,,0,,1,0,4,1,3,454,23.89,12,19,7,10,12,50,,10,2,13,7,,48,40,41,9,9,12,5,36,19,4,3,0,1,0,1,0.05,1,0,31,9,29,0
Ryan Fraser,Midfielder,,,,,,,,,,,0,,1,0,0,5,9,802,30.85,19,26,10,13,11,64,,11,12,12,3,,99,79,73,16,10,21,17,165,27,4,8,0,3,2,0,0.19,0,0,31,15,48,1
Jordon Ibe,Midfielder,,,,,,,,,,,0,,0,0,4,0,1,139,10.69,3,13,2,8,2,100,,3,3,2,0,,20,21,37,13,1,5,0,18,44,1,0,0,0,0,0,0.00,0,0,4,0,0,1
David Brooks,Midfielder,,,,,,,,,,,0,,2,0,13,6,4,549,24.95,11,22,10,9,28,68,,7,17,15,1,,85,87,109,15,7,24,5,26,23,12,2,1,0,5,1,0.27,0,0,36,17,47,8
Jefferson Lerma,Midfielder,,,,,,,,,,,0,,9,0,33,1,0,1005,50.25,40,20,7,11,27,67,,5,38,50,35,,154,117,120,13,48,52,1,2,50,2,3,1,0,0,1,0.05,0,0,25,7,28,0
Kyle Taylor,Midfielder,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Nnamdi Ofoborh,Midfielder,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Matt Butcher,Midfielder,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Callum Wilson,Forward,,,,,,,,,,,,,3,0,32,10,5,311,14.81,,21,9,9,6,,,8,2,10,7,,,,,,,,10,12,,,15,3,5,2,2,0.48,1,0,44,20,45,13
Joshua King,Forward,,,,,,,,,,,,,1,0,32,8,3,529,23.00,,23,9,11,17,,,14,3,10,7,,,,,,,,7,30,,,5,1,6,1,0,0.35,3,0,47,16,34,4
Lys Mousset,Forward,,,,,,,,,,,,,1,0,5,0,0,83,4.88,,17,5,10,1,,,1,0,1,0,,,,,,,,0,3,,,1,0,0,0,0,0.00,0,0,5,2,40,0
Dominic Solanke,Forward,,,,,,,,,,,,,0,0,0,0,0,31,15.50,,2,0,2,2,,,0,1,3,1,,,,,,,,0,1,,,0,0,0,0,0,0.00,0,0,1,0,0,0
Sam Surridge,Forward,,,,,,,,,,,,,0,0,0,0,0,0,0.00,,0,0,0,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,0.00,0,0,0,0,0,0
